Encoding,Dataset,Compression Ratio
BUFF,CS-Sensors,2.0643456540363117
CHIMP,CS-Sensors,3.2757886461165526
GORILLA,CS-Sensors,1.9661285209060904
PLAIN,CS-Sensors,1.0
RAKE,CS-Sensors,1.270833730468874
RLBE,CS-Sensors,2.0170491075818355
RLE,CS-Sensors,2.060363499630422
SPRINTZ,CS-Sensors,3.017057689914353
TS_2DIFF,CS-Sensors,3.3943899220563214
REGER (our),CS-Sensors,5.57549569641426
Elf,CS-Sensors,2.236517295267809
BUFF,Cyber-Vehicle,2.332772570696147
CHIMP,Cyber-Vehicle,3.2081084058609672
GORILLA,Cyber-Vehicle,2.1169252242690355
PLAIN,Cyber-Vehicle,1.0
RAKE,Cyber-Vehicle,0.8400113078445288
RLBE,Cyber-Vehicle,2.2146676097256766
RLE,Cyber-Vehicle,1.3554083679710303
SPRINTZ,Cyber-Vehicle,3.2637324456698384
TS_2DIFF,Cyber-Vehicle,3.457036351117127
REGER (our),Cyber-Vehicle,3.998187634726018
Elf,Cyber-Vehicle,1.8793775233160273
BUFF,EPM-Education,1.7775241659461634
CHIMP,EPM-Education,2.956963138407494
GORILLA,EPM-Education,2.6147384442803667
PLAIN,EPM-Education,1.0
RAKE,EPM-Education,0.9734180485109842
RLBE,EPM-Education,2.263494810172682
RLE,EPM-Education,1.3780306926838726
SPRINTZ,EPM-Education,3.356257303693019
TS_2DIFF,EPM-Education,3.5813742387301777
REGER (our),EPM-Education,4.604459593774254
Elf,EPM-Education,1.618157128655362
BUFF,GW-Magnetic,1.6837833353090015
CHIMP,GW-Magnetic,2.889399443924758
GORILLA,GW-Magnetic,2.2796623566398027
PLAIN,GW-Magnetic,1.0
RAKE,GW-Magnetic,0.8851474696410637
RLBE,GW-Magnetic,2.917784230376675
RLE,GW-Magnetic,1.6850861217957407
SPRINTZ,GW-Magnetic,3.5571746246373377
TS_2DIFF,GW-Magnetic,3.8712511544622172
REGER (our),GW-Magnetic,4.238345295952529
Elf,GW-Magnetic,2.1559007847881086
BUFF,Metro-Traffic,1.5607694891793114
CHIMP,Metro-Traffic,2.0781857963547785
GORILLA,Metro-Traffic,1.9079246179193239
PLAIN,Metro-Traffic,1.0
RAKE,Metro-Traffic,0.8752962112201632
RLBE,Metro-Traffic,1.7760787763505141
RLE,Metro-Traffic,1.4522475295251869
SPRINTZ,Metro-Traffic,2.117138088545327
TS_2DIFF,Metro-Traffic,2.370867686027138
REGER (our),Metro-Traffic,3.770978183276127
Elf,Metro-Traffic,1.9562106823622007
BUFF,Nifty-Stocks,1.6051735509505087
CHIMP,Nifty-Stocks,1.641553705228442
GORILLA,Nifty-Stocks,1.8576681101118344
PLAIN,Nifty-Stocks,1.0
RAKE,Nifty-Stocks,0.965221468921922
RLBE,Nifty-Stocks,1.4900206328385868
RLE,Nifty-Stocks,1.5267037824936815
SPRINTZ,Nifty-Stocks,2.159424091047045
TS_2DIFF,Nifty-Stocks,2.4203182086118815
REGER (our),Nifty-Stocks,6.489198288181974
Elf,Nifty-Stocks,1.9587759282761545
BUFF,TH-Climate,2.1331930051813472
CHIMP,TH-Climate,3.3318728286056607
GORILLA,TH-Climate,2.882529263756701
PLAIN,TH-Climate,1.0
RAKE,TH-Climate,0.9559132831539202
RLBE,TH-Climate,4.289514382926076
RLE,TH-Climate,1.5592142150212809
SPRINTZ,TH-Climate,4.053629531626194
TS_2DIFF,TH-Climate,6.101435096473911
REGER (our),TH-Climate,7.083689544855773
Elf,TH-Climate,2.1749134729975053
BUFF,TY-Fuel,2.063931188409218
CHIMP,TY-Fuel,2.936484811370607
GORILLA,TY-Fuel,2.4202411286317864
PLAIN,TY-Fuel,1.0
RAKE,TY-Fuel,0.880746012313558
RLBE,TY-Fuel,2.3892663835122137
RLE,TY-Fuel,1.6775569624538718
SPRINTZ,TY-Fuel,3.1737728718748
TS_2DIFF,TY-Fuel,3.0434949518215673
REGER (our),TY-Fuel,3.7416111077899896
Elf,TY-Fuel,1.8569087711526022
BUFF,TY-Transport,2.6882853982735075
CHIMP,TY-Transport,3.3323040035431006
GORILLA,TY-Transport,3.203563187589519
PLAIN,TY-Transport,1.0
RAKE,TY-Transport,0.9015955957756047
RLBE,TY-Transport,2.63360244515545
RLE,TY-Transport,1.6891002051459294
SPRINTZ,TY-Transport,4.207352522512379
TS_2DIFF,TY-Transport,5.428172235432138
REGER (our),TY-Transport,6.925135246521165
Elf,TY-Transport,2.018942632844398
BUFF,USGS-Earthquakes,1.8821577278581512
CHIMP,USGS-Earthquakes,2.625499474010035
GORILLA,USGS-Earthquakes,1.1451395252817191
PLAIN,USGS-Earthquakes,1.0
RAKE,USGS-Earthquakes,0.7165390922710237
RLBE,USGS-Earthquakes,1.6819937468914727
RLE,USGS-Earthquakes,1.0151846722635058
SPRINTZ,USGS-Earthquakes,2.585786118114556
TS_2DIFF,USGS-Earthquakes,2.8724461361881772
REGER (our),USGS-Earthquakes,3.376116145984102
Elf,USGS-Earthquakes,1.7330642911490242
BUFF,Vehicle-Charge,1.7260883380997778
CHIMP,Vehicle-Charge,2.1555555555555554
GORILLA,Vehicle-Charge,1.6011318752579142
PLAIN,Vehicle-Charge,1.0
RAKE,Vehicle-Charge,0.8663476874003189
RLBE,Vehicle-Charge,1.4406959473795884
RLE,Vehicle-Charge,1.4834234529466381
SPRINTZ,Vehicle-Charge,2.070279746931931
TS_2DIFF,Vehicle-Charge,2.0499660351724662
REGER (our),Vehicle-Charge,2.3369471691619346
Elf,Vehicle-Charge,1.4052242137697333
BUFF,YZ-Electricity,1.8808969945100957
CHIMP,YZ-Electricity,2.4895621651579534
GORILLA,YZ-Electricity,1.849236117464093
PLAIN,YZ-Electricity,1.0
RAKE,YZ-Electricity,0.7633469595838487
RLBE,YZ-Electricity,1.7559831472874952
RLE,YZ-Electricity,1.388419534308675
SPRINTZ,YZ-Electricity,2.6048129892722534
TS_2DIFF,YZ-Electricity,3.3640940295402544
REGER (our),YZ-Electricity,3.517466394048811
Elf,YZ-Electricity,1.601076724096955
