Encoding,Dataset,k,Compression Ratio
REGER,CS-Sensors,1,7.456282446803554
REGER,CS-Sensors,2,7.456282446803554
REGER,CS-Sensors,3,7.456282446803554
REGER,CS-Sensors,4,7.456282446803554
REGER,CS-Sensors,5,7.456282446803554
REGER,CS-Sensors,6,7.456282446803554
REGER,CS-Sensors,7,7.456282446803554
REGER,CS-Sensors,8,7.456282446803554
REGER,CS-Sensors,9,7.456282446803554
REGER,CS-Sensors,10,7.456282446803554
REGER,Cyber-Vehicle,1,3.8664276704507734
REGER,Cyber-Vehicle,2,3.8648881810339115
REGER,Cyber-Vehicle,3,3.8745559295873973
REGER,Cyber-Vehicle,4,3.8688934061408062
REGER,Cyber-Vehicle,5,3.86694110616825
REGER,Cyber-Vehicle,6,3.867762887008727
REGER,Cyber-Vehicle,7,3.8664276704507743
REGER,Cyber-Vehicle,8,3.869458913574998
REGER,Cyber-Vehicle,9,3.874813710879286
REGER,Cyber-Vehicle,10,3.869716017062896
REGER,EPM-Education,1,4.6322065956208025
REGER,EPM-Education,2,4.611797284614062
REGER,EPM-Education,3,4.620080719477636
REGER,EPM-Education,4,4.62956135763731
REGER,EPM-Education,5,4.617590832947065
REGER,EPM-Education,6,4.594783455785549
REGER,EPM-Education,7,4.630179216560088
REGER,EPM-Education,8,4.6395072428375075
REGER,EPM-Education,9,4.639648516144774
REGER,EPM-Education,10,4.633395995280104
REGER,GW-Magnetic,1,3.967968668759994
REGER,GW-Magnetic,2,3.9678545293859924
REGER,GW-Magnetic,3,3.9680529602444032
REGER,GW-Magnetic,4,3.9680966294456037
REGER,GW-Magnetic,5,3.967860617118873
REGER,GW-Magnetic,6,3.9682375951282105
REGER,GW-Magnetic,7,3.968079770491162
REGER,GW-Magnetic,8,3.9679388160210984
REGER,GW-Magnetic,9,3.967850666697937
REGER,GW-Magnetic,10,3.967918095588267
REGER,Metro-Traffic,1,4.1644959934339845
REGER,Metro-Traffic,2,4.164226167336185
REGER,Metro-Traffic,3,4.164136233073452
REGER,Metro-Traffic,4,4.16382149374278
REGER,Metro-Traffic,5,4.1647208752281495
REGER,Metro-Traffic,6,4.14694053123992
REGER,Metro-Traffic,7,4.160542045184818
REGER,Metro-Traffic,8,4.1653506734788674
REGER,Metro-Traffic,9,4.164091267398794
REGER,Metro-Traffic,10,4.165035750545439
REGER,Nifty-Stocks,1,6.573164048328833
REGER,Nifty-Stocks,2,6.576659692241
REGER,Nifty-Stocks,3,6.578703446613105
REGER,Nifty-Stocks,4,6.573747654773721
REGER,Nifty-Stocks,5,6.524845951731022
REGER,Nifty-Stocks,6,6.573458116892875
REGER,Nifty-Stocks,7,6.570254791014461
REGER,Nifty-Stocks,8,6.569383566996169
REGER,Nifty-Stocks,9,6.574039574997289
REGER,Nifty-Stocks,10,6.5778302956453985
REGER,TH-Climate,1,6.204739057486829
REGER,TH-Climate,2,6.203716456828713
REGER,TH-Climate,3,6.195329261769429
REGER,TH-Climate,4,6.202365679985879
REGER,TH-Climate,5,6.197915931597396
REGER,TH-Climate,6,6.196385528002167
REGER,TH-Climate,7,6.2006871558337675
REGER,TH-Climate,8,6.202803705316682
REGER,TH-Climate,9,6.202840210220285
REGER,TH-Climate,10,6.202073697466136
REGER,TY-Fuel,1,3.550295857988166
REGER,TY-Fuel,2,3.5591470258136932
REGER,TY-Fuel,3,3.5602871701525074
REGER,TY-Fuel,4,3.5599354589568657
REGER,TY-Fuel,5,3.5595944720324
REGER,TY-Fuel,6,3.5573051588702302
REGER,TY-Fuel,7,3.5511970209601844
REGER,TY-Fuel,8,3.544856202604093
REGER,TY-Fuel,9,3.5486431483017724
REGER,TY-Fuel,10,3.553446622104159
REGER,TY-Transport,1,7.358692486922934
REGER,TY-Transport,2,7.3483035051027015
REGER,TY-Transport,3,7.360786999151041
REGER,TY-Transport,4,7.344395123593273
REGER,TY-Transport,5,7.353100352421504
REGER,TY-Transport,6,7.371824904933261
REGER,TY-Transport,7,7.351564545059818
REGER,TY-Transport,8,7.357414175742636
REGER,TY-Transport,9,7.365429058501308
REGER,TY-Transport,10,7.355850568183043
REGER,USGS-Earthquakes,1,3.3682285206509066
REGER,USGS-Earthquakes,2,3.3682908767772513
REGER,USGS-Earthquakes,3,3.3683033482795777
REGER,USGS-Earthquakes,4,3.3682347561596466
REGER,USGS-Earthquakes,5,3.368072640435398
REGER,USGS-Earthquakes,6,3.368359471182951
REGER,USGS-Earthquakes,7,3.36824722724639
REGER,USGS-Earthquakes,8,3.3680539357791033
REGER,USGS-Earthquakes,9,3.3683469992650203
REGER,USGS-Earthquakes,10,3.3679604156138416
REGER,Vehicle-Charge,1,2.193037719085696
REGER,Vehicle-Charge,2,2.193037719085696
REGER,Vehicle-Charge,3,2.193037719085696
REGER,Vehicle-Charge,4,2.193037719085696
REGER,Vehicle-Charge,5,2.193037719085696
REGER,Vehicle-Charge,6,2.193037719085696
REGER,Vehicle-Charge,7,2.193037719085696
REGER,Vehicle-Charge,8,2.193037719085696
REGER,Vehicle-Charge,9,2.193037719085696
REGER,Vehicle-Charge,10,2.193037719085696
REGER,YZ-Electricity,1,3.0289952798381665
REGER,YZ-Electricity,2,3.0304711217720475
REGER,YZ-Electricity,3,3.0304711217720475
REGER,YZ-Electricity,4,3.0304711217720475
REGER,YZ-Electricity,5,3.0304711217720475
REGER,YZ-Electricity,6,3.0304711217720475
REGER,YZ-Electricity,7,3.0304711217720475
REGER,YZ-Electricity,8,3.0304711217720475
REGER,YZ-Electricity,9,3.0304711217720475
REGER,YZ-Electricity,10,3.0304711217720475
